№,Назва,Ціна,Вага/Кількість
2,"Ковбаса 0,55 кг М'ясна лавка/Своя лінія Молочна ДСТУ вар вектор",86.90 грн/шт,55000.0 г
3,"Чай 45,5 г (4 смаки * 7 ф/п ) Tea Moments Asortment Moment у сашетах к/уп",42.90 грн/шт,5.0 г
4,Гель для чищення 1кг Сантри ONIKS,48.90 грн/шт,1000.0 г
5,Печиво 420 г Рошен Lovita Jelly зі смаком вишні м/уп,79.90 грн/шт,420.0 г
6,Печиво 95г Oрео з какао та кремовою начинкою ванільного смаку,25.50 грн/шт,95.0 г
7,Зерновий батончик 25 г АХА зі смаком йогурту та лісовими ягодами,8.20 грн/шт,25.0 г
8,Морозиво 450 г Три Ведмеді Vanilla&Caramel двошарове пласт/лоток,89.00 грн/шт,450.0 г
9,Рідке мило 300мл Duru морські мінерали та олія авакадо п/флакон,42.50 грн/шт,300.0 мл
10,Готовий сніданок 330г Start Веселий Роджер,49.60 грн/шт,330.0 г
11,Прокладки урологічні 15 шт Seni Lady extra,82.50 грн/шт,N/A шт
12,"Ковбаса 0,55 кг М'ясна лавка/Своя лінія Молочна ДСТУ вар вектор",86.90 грн/шт,55000.0 г
13,"Чай 45,5 г (4 смаки * 7 ф/п ) Tea Moments Asortment Moment у сашетах к/уп",42.90 грн/шт,5.0 г
14,Гель для чищення 1кг Сантри ONIKS,48.90 грн/шт,1000.0 г
15,Печиво 420 г Рошен Lovita Jelly зі смаком вишні м/уп,79.90 грн/шт,420.0 г
16,Печиво 95г Oрео з какао та кремовою начинкою ванільного смаку,25.50 грн/шт,95.0 г
17,Зерновий батончик 25 г АХА зі смаком йогурту та лісовими ягодами,8.20 грн/шт,25.0 г
18,Морозиво 450 г Три Ведмеді Vanilla&Caramel двошарове пласт/лоток,89.00 грн/шт,450.0 г
19,Рідке мило 300мл Duru морські мінерали та олія авакадо п/флакон,42.50 грн/шт,300.0 мл
20,Готовий сніданок 330г Start Веселий Роджер,49.60 грн/шт,330.0 г
21,Прокладки урологічні 15 шт Seni Lady extra,82.50 грн/шт,N/A шт
22,"Ковбаса 0,55 кг М'ясна лавка/Своя лінія Молочна ДСТУ вар вектор",86.90 грн/шт,55000.0 г
23,"Чай 45,5 г (4 смаки * 7 ф/п ) Tea Moments Asortment Moment у сашетах к/уп",42.90 грн/шт,5.0 г
24,Гель для чищення 1кг Сантри ONIKS,48.90 грн/шт,1000.0 г
25,Печиво 420 г Рошен Lovita Jelly зі смаком вишні м/уп,79.90 грн/шт,420.0 г
26,Печиво 95г Oрео з какао та кремовою начинкою ванільного смаку,25.50 грн/шт,95.0 г
27,Зерновий батончик 25 г АХА зі смаком йогурту та лісовими ягодами,8.20 грн/шт,25.0 г
28,Морозиво 450 г Три Ведмеді Vanilla&Caramel двошарове пласт/лоток,89.00 грн/шт,450.0 г
29,Рідке мило 300мл Duru морські мінерали та олія авакадо п/флакон,42.50 грн/шт,300.0 мл
30,Готовий сніданок 330г Start Веселий Роджер,49.60 грн/шт,330.0 г
31,Прокладки урологічні 15 шт Seni Lady extra,82.50 грн/шт,N/A шт
22,"Ковбаса 0,55 кг М'ясна лавка/Своя лінія Молочна ДСТУ вар вектор",86.90 грн/шт,55000.0 г
23,"Чай 45,5 г (4 смаки * 7 ф/п ) Tea Moments Asortment Moment у сашетах к/уп",42.90 грн/шт,5.0 г
24,Гель для чищення 1кг Сантри ONIKS,48.90 грн/шт,1000.0 г
25,Печиво 420 г Рошен Lovita Jelly зі смаком вишні м/уп,79.90 грн/шт,420.0 г
26,Печиво 95г Oрео з какао та кремовою начинкою ванільного смаку,25.50 грн/шт,95.0 г
27,Зерновий батончик 25 г АХА зі смаком йогурту та лісовими ягодами,8.20 грн/шт,25.0 г
28,Морозиво 450 г Три Ведмеді Vanilla&Caramel двошарове пласт/лоток,89.00 грн/шт,450.0 г
29,Рідке мило 300мл Duru морські мінерали та олія авакадо п/флакон,42.50 грн/шт,300.0 мл
30,Готовий сніданок 330г Start Веселий Роджер,49.60 грн/шт,330.0 г
31,Прокладки урологічні 15 шт Seni Lady extra,82.50 грн/шт,N/A шт
32,"Ковбаса 0,55 кг М'ясна лавка/Своя лінія Молочна ДСТУ вар вектор",86.90 грн/шт,55000.0 г
33,"Чай 45,5 г (4 смаки * 7 ф/п ) Tea Moments Asortment Moment у сашетах к/уп",42.90 грн/шт,5.0 г
34,Гель для чищення 1кг Сантри ONIKS,48.90 грн/шт,1000.0 г
35,Печиво 420 г Рошен Lovita Jelly зі смаком вишні м/уп,79.90 грн/шт,420.0 г
36,Печиво 95г Oрео з какао та кремовою начинкою ванільного смаку,25.50 грн/шт,95.0 г
37,Зерновий батончик 25 г АХА зі смаком йогурту та лісовими ягодами,8.20 грн/шт,25.0 г
38,Морозиво 450 г Три Ведмеді Vanilla&Caramel двошарове пласт/лоток,89.00 грн/шт,450.0 г
39,Рідке мило 300мл Duru морські мінерали та олія авакадо п/флакон,42.50 грн/шт,300.0 мл
40,Готовий сніданок 330г Start Веселий Роджер,49.60 грн/шт,330.0 г
41,Прокладки урологічні 15 шт Seni Lady extra,82.50 грн/шт,N/A шт
42,"Ковбаса 0,55 кг М'ясна лавка/Своя лінія Молочна ДСТУ вар вектор",86.90 грн/шт,55000.0 г
43,"Чай 45,5 г (4 смаки * 7 ф/п ) Tea Moments Asortment Moment у сашетах к/уп",42.90 грн/шт,5.0 г
44,Гель для чищення 1кг Сантри ONIKS,48.90 грн/шт,1000.0 г
45,Печиво 420 г Рошен Lovita Jelly зі смаком вишні м/уп,79.90 грн/шт,420.0 г
46,Печиво 95г Oрео з какао та кремовою начинкою ванільного смаку,25.50 грн/шт,95.0 г
47,Зерновий батончик 25 г АХА зі смаком йогурту та лісовими ягодами,8.20 грн/шт,25.0 г
48,Морозиво 450 г Три Ведмеді Vanilla&Caramel двошарове пласт/лоток,89.00 грн/шт,450.0 г
49,Рідке мило 300мл Duru морські мінерали та олія авакадо п/флакон,42.50 грн/шт,300.0 мл
50,Готовий сніданок 330г Start Веселий Роджер,49.60 грн/шт,330.0 г
51,Прокладки урологічні 15 шт Seni Lady extra,82.50 грн/шт,N/A шт
32,"Ковбаса 0,55 кг М'ясна лавка/Своя лінія Молочна ДСТУ вар вектор",86.90 грн/шт,55000.0 г
33,"Чай 45,5 г (4 смаки * 7 ф/п ) Tea Moments Asortment Moment у сашетах к/уп",42.90 грн/шт,5.0 г
34,Гель для чищення 1кг Сантри ONIKS,48.90 грн/шт,1000.0 г
35,Печиво 420 г Рошен Lovita Jelly зі смаком вишні м/уп,79.90 грн/шт,420.0 г
36,Печиво 95г Oрео з какао та кремовою начинкою ванільного смаку,25.50 грн/шт,95.0 г
37,Зерновий батончик 25 г АХА зі смаком йогурту та лісовими ягодами,8.20 грн/шт,25.0 г
38,Морозиво 450 г Три Ведмеді Vanilla&Caramel двошарове пласт/лоток,89.00 грн/шт,450.0 г
39,Рідке мило 300мл Duru морські мінерали та олія авакадо п/флакон,42.50 грн/шт,300.0 мл
40,Готовий сніданок 330г Start Веселий Роджер,49.60 грн/шт,330.0 г
41,Прокладки урологічні 15 шт Seni Lady extra,82.50 грн/шт,N/A шт
42,"Ковбаса 0,55 кг М'ясна лавка/Своя лінія Молочна ДСТУ вар вектор",86.90 грн/шт,55000.0 г
43,"Чай 45,5 г (4 смаки * 7 ф/п ) Tea Moments Asortment Moment у сашетах к/уп",42.90 грн/шт,5.0 г
44,Гель для чищення 1кг Сантри ONIKS,48.90 грн/шт,1000.0 г
